Pertanyaan;Jawaban
Apa manfaat yang diberikan jika karyawan di-PHK karena meninggal dunia, sakit berkepanjangan, pensiun / mengundurkan diri berbeda?;"Semua karyawan yang pensiun normal berhak atas: 
 • Pesangon
 • Uang penghargaan masa kerja
 • Uang pisah (jika ada)
 • Uang penggantian hak (jika ada)
Bila di-PHK dengan sebab tertentu, berhak atas manfaat yang sama dengan tambahan, antara lain:
 1. Yang karena meninggal dunia: bantuan uang duka (jika ada).
 2. Yang karena sakit berkepanjangan: bantuan uang cacat (jika ada).
 3. Yang karena mengundurkan diri: uang pisah/apresiasi (jika ada).

Semua jenis PHK dicatat dalam perhitungan aktuaria untuk memastikan akurasi dalam laporan keuangan dan mencerminkan kewajiban yang sudah terjadi maupun proyeksi di masa depan.
Bonus akibat PHK tidak dihitung sebagai kewajiban aktuaria jangka panjang (PVDBO). Sebaliknya, bonus ini dicatat sebagai biaya operasional tahun berjalan atau termasuk dalam curtailment, yaitu pengurangan kewajiban karena penghentian hubungan kerja."
Bagaimana pengaturan terkait TKA mempengaruhi perhitungan aktuaria?;"Tenaga Kerja Asing (TKA) yang dipekerjakan pada jabatan tertentu dan periode tertentu dapat memengaruhi perhitungan aktuaria, karena aktuaria harus mempertimbangkan durasi kontrak kerja dan jabatan yang dipegang untuk menentukan kewajiban imbalan kerja. 

Berdasarkan PSAK 24 paragraf 1 dan 2, imbalan pasca kerja dapat diberikan kepada karyawan yang memiliki hubungan kerja formal dengan entitas pelapor, melalui program resmi maupun tidak resmi, tanpa membedakan kewarganegaraan. Oleh karena itu, TKA dapat termasuk dalam ruang lingkup PSAK 24 jika memenuhi kriteria berikut:
1. Memiliki kontrak kerja yang sah dengan entitas pelapor.
2. Termasuk dalam kebijakan perusahaan yang memberikan imbalan pasca kerja, baik dalam bentuk program pensiun, pesangon, atau bentuk imbalan lainnya.
3. Tidak dikecualikan secara eksplisit dalam perjanjian kerja atau Peraturan Perusahaan."
Apa pemberian uang kompensasi juga berlaku bagi TKA dengan PKWT?;"Menurut Pasal 15 PP No. 35 Tahun 2021, pemberian uang kompensasi tidak berlaku bagi TKA yang dipekerjakan dengan Perjanjian Kerja Waktu Tertentu (PKWT). Hal ini sering membingungkan, karena mungkin adanya asumsi semua pekerja berhak atas kompensasi. 

Tetapi, jika dalam Peraturan Perusahaan dinyatakan TKA tidak dikecualikan secara tegas dalam perjanjian kerja, maka perusahaan tetap wajib menghitung kewajiban imbalan pasca kerja untuk karyawan tidak tetap, sesuai ketentuan PSAK 24 (sekarang PSAK 219)."
Kapan auditor harus melakukan komunikasi tertulis kepada pihak yang bertanggung jawab atas tata kelola tentang temuan signifikan selama audit?;Auditor harus menyampaikan komunikasi tertulis sesegera mungkin setelah menemukan temuan signifikan, terutama jika berpotensi berdampak material pada laporan keuangan atau pengendalian internal. Komunikasi ini biasanya dilakukan sebelum laporan audit final diterbitkan, dalam bentuk management letter atau laporan temuan audit. Sesuai dengan ISA 260 dan SA 315, auditor wajib menginformasikan kelemahan pengendalian, penyimpangan standar akuntansi, atau risiko kecurangan agar perusahaan dapat segera mengambil tindakan perbaikan.
Apa fungsi dari aktuaria pada perusahaan sekuritas?;"Aktuaris dalam perusahaan sekuritas berperan dalam mengelola risiko keuangan dan valuasi investasi menggunakan model matematika dan statistik. Mereka menghitung nilai wajar produk investasi seperti obligasi dan opsi, serta membantu memahami potensi keuntungan dan risiko.

Jika perusahaan memiliki program pensiun atau kompensasi jangka panjang, aktuaris juga menghitung kewajiban manfaat karyawan sesuai PSAK 219 agar laporan keuangan mencerminkan kewajiban yang sebenarnya.

Selain itu, aktuaris melakukan analisis risiko portofolio dan stres testing untuk mengantisipasi dampak ekonomi terhadap investasi. Dengan pendekatan berbasis data, mereka membantu merancang strategi mitigasi risiko agar perusahaan tetap stabil di tengah fluktuasi pasar."
Perhitungan PSAK 24 nya menggunakan regulasi apa, UU Ketenagakerjaan atau Omnibus Law?;"Dalam praktiknya, perhitungan PSAK 24 (sekarang PSAK 219) merujuk pada standar akuntansi keuangan juga harus selaras dengan regulasi ketenagakerjaan yang berlaku. Regulasi yang menjadi acuan saat ini antara lain:

• UU No. 13 Tahun 2003 atau UUK / UU Ketenagakerjaan (sebelum revisi oleh Omnibus Law), yang mengatur hak-hak karyawan atas pesangon, penghargaan masa kerja, dan penggantian hak.
• UU No. 11 Tahun 2020 atau UU Cipta Kerja / UUCK (Omnibus Law) dan peraturan turunannya seperti PP No. 35 Tahun 2021, yang memperbarui skema perhitungan pesangon dan memberikan opsi bagi perusahaan untuk menggunakan skema asuransi DPLK.
• Ketentuan dari perusahaan sendiri, seperti peraturan perusahaan, PKB (Perjanjian Kerja Bersama), atau kebijakan internal lainnya.

Jika suatu perusahaan sudah mengikuti UUCK perhitungan PSAK 219 akan mempertimbangkan skema pesangon yang lebih rendah dibanding aturan lama. Namun, jika masih mengikuti aturan lama (UUK), maka kewajiban perusahaan terhadap karyawan bisa lebih besar."
Apa perbedaan antara imbalan pasca kerja dalam valuasi aktuaria dan manfaat dalam BPJS Ketenagakerjaan?;"BPJS (Badan Penyelenggara Jaminan Sosial) dan imbalan pasca kerja yang diatur dalam PSAK 24 adalah dua hal yang berbeda dalam konteks imbalan kerja karyawan. BPJS adalah program jaminan sosial yang ditawarkan pemerintah untuk jaminan kesehatan, jaminan pensiun, dan jaminan sosial lainnya. 
Sementara itu imbalan pasca kerja adalah segala bentuk imbalan yang diberikan kepada karyawan setelah mereka tidak lagi bekerja di perusahaan, termasuk pensiun, tunjangan kesehatan pensiunan, dan asuransi jiwa pasca kerja.

BPJS:
• Program jaminan sosial yang dikelola pemerintah.
• Memberikan jaminan kesehatan, jaminan pensiun, jaminan kecelakaan kerja, dan jaminan kematian.
• Iuran BPJS menjadi kewajiban perusahaan dan pekerja.
• Perusahaan dapat mencatat iuran BPJS sebagai bagian dari beban.

Imbalan Pasca Kerja (sesuai PSAK 24):
• Segala bentuk imbalan yang diberikan kepada karyawan setelah masa kerjanya berakhir.
• Dapat berupa tunjangan pensiun, tunjangan kesehatan pensiunan, asuransi jiwa, dll.
• Perusahaan memiliki kewajiban untuk memberikan imbalan ini.
• Kewajiban imbalan pasca kerja diukur oleh nilai kini dari imbalan yang akan dibayarkan di masa depan.
• PSAK 24 mengatur pengakuan, pengukuran, penyajian, dan pengungkapan imbalan pasca kerja.

Imbalan pasca kerja yang dihitung dalam PSAK 24/219 adalah imbalan selain BPJS yang nantinya akan dibayarkan kepada karyawan ketika karyawan tersebut di PHK yang diatur dalam UU Ketenagakerjaan karena sebab berikut:
 - pensiun normal
 - meninggal dunia
 - resign
 - sakit berkepanjangan"
Apakah imbalan kerja atau kompensasi PKWT wajib diberikan kepada karyawan?;"Ya, berdasarkan regulasi ketenagakerjaan di Indonesia, karyawan dengan Perjanjian Kerja Waktu Tertentu (PKWT) berhak menerima kompensasi setelah masa kerja mereka berakhir. Hal ini diatur dalam Peraturan Pemerintah (PP) No. 35 Tahun 2021, yang merupakan turunan dari UU Cipta Kerja (Omnibus Law). Besaran kompensasi yang diberikan bergantung pada masa kerja karyawan, yaitu 1 bulan upah untuk setiap 12 bulan kerja secara terus-menerus, dan dihitung secara proporsional jika kurang dari 1 tahun.

Namun, kompensasi ini tidak berlaku bagi karyawan PKWT yang kontraknya diputus karena melakukan pelanggaran atau mengundurkan diri sebelum masa kontrak berakhir. Untuk memastikan kepatuhan terhadap peraturan, perusahaan harus memperhitungkan kewajiban ini dalam pencatatan keuangan dan perencanaan biaya tenaga kerja."
Jika RUPS belum menentukan besaran imbalan pasca kerja Direksi, bagaimana perhitungannya dilakukan?;"Jika belum ada keputusan RUPS, perhitungan dapat mengacu pada aturan umum seperti UUCK atau perjanjian tertulis lainnya yang berlaku. Dokumen pendukung, seperti surat perjanjian kerja atau keputusan internal, diperlukan sebagai dasar perhitungan.

Dokumen yang diperlukan meliputi:
1. Keputusan RUPS (jika tersedia).
2. Surat perjanjian kerja atau dokumen lain yang memuat janji imbalan pasca kerja.
3. Laporan aktuaria sebelumnya atau asumsi perhitungan yang relevan."
Bagaimana jika 2025 masih ada perusahaan yang menggunakan PSAK 24 (bukan PSAK 219), apa dampaknya pada perusahaan tersebut?;"1. Regulasi yang Digunakan
Tidak ada perbedaan antara PSAK 24 dan PSAK 219. Perbedaan terletak pada penomoran PSAK sesuai arahan dari Ikatan Akuntan Indonesia (IAI) mengenai perubahan penomoran PSAK yang berlaku mulai 1 Januari 2024.

2. Persoalan Audit
Mulai 2024, penggunaan PSAK 24 dapat berisiko menimbulkan perbedaan catatan dalam audit karena ketidaksesuaian dengan ketentuan terkini dari IAI."
"Mengapa penting untuk memverifikasi pengakuan utang dalam laporan imbalan kerja?
";"Verifikasi dari KAP (Kantor Akuntan Publik) penting karena bertujuan memastikan bahwa pengakuan kewajiban imbalan kerja di laporan keuangan perusahaan sudah sesuai regulasi dan akurat.

Misalkan, perusahaan X mencatat:
Debit: Beban Imbalan Kerja – Rp 2,872 miliar
Kredit: Utang Imbalan Kerja – Rp 2,872 miliar

KAP akan mengecek apakah angka ini benar-benar mencerminkan kewajiban perusahaan kepada karyawan, dan apakah ada aset terkait (seperti program pensiun) yang juga harus dicatat. Hasil verifikasi KAP akan menjamin bahwa laporan keuangan menjadi lebih transparan bagi auditor dan pemangku kepentingan."
Bagaimana penentuan usia pensiun jika tidak ada Peraturan Perusahaan (PP)?;Jika tidak ada PP, penentuan usia pensiun biasanya didasarkan pada kebijakan internal perusahaan, peraturan pemerintah, atau UU yang berlaku.
Bagaimana ketentuan usia pensiun normal sesuai dengan peraturan pemerintah yang berlaku?;"Usia pensiun ditentukan berdasarkan Pasal 15 ayat (1), (2), dan (3) PP No. 45 Tahun 2015 sebagai berikut:
1. Untuk pertama kali, usia pensiun ditetapkan 56 tahun.

Mulai 1 Januari 2019, usia pensiun menjadi 57 tahun.
1. Usia pensiun akan bertambah 1 tahun setiap 3 tahun berikutnya sampai mencapai 65 tahun. 
2. Misalnya, 2019-2021: 57 tahun, 2022-2024: 58 tahun, dan seterusnya."
Bagaimana jika sudah pernah menghitung secara internal / menggunakan tenaga ahli (bukan KKA)?;"Langkah-langkah yang dapat dilakukan:
1. Periksa kertas kerja perhitungan sebelumnya
Pastikan dokumen perhitungan terdokumentasi dengan baik, termasuk metode yang digunakan, asumsi aktuaria (tingkat diskonto, kenaikan gaji, Mortalita), dan data yang dijadikan dasar perhitungan.

2. Cek kesesuaiannya dengan standar yang berlaku
Pastikan bahwa perhitungan menggunakan metode Projected Unit Credit (PUC) dan mengikuti standar akuntansi berlaku seperti PSAK 219 agar dapat diterima dalam laporan keuangan yang diaudit.

3. Perhitungan kembali oleh KKA
Kantor Konsultan Aktuaria (KKA) akan menghitung ulang dan melakukan penyesuaian dengan hasil perhitungan yang sudah dicatat agar tidak menimbulkan potensi koreksi dalam laporan keuangan. Kelebihan/Kekurangan pencadangan di periode sebelumnya atas perbedaan perhitungan akan dicatat di beban/pendapatan laba rugi tahun berjalan."
Apa standar perusahaan harus membuat perhitungan post employment benefit?;"Perhitungan imbalan pasca kerja (post employment benefit) wajib dilakukan oleh perusahaan yang menyusun laporan keuangan sesuai standar akuntansi seperti PSAK 219, terutama bagi perusahaan tercatat di bursa efek, diaudit, atau memiliki akuntabilitas publik.

Namun, meskipun perusahaan skala kecil tidak wajib mengikuti standar akuntansi tertentu, mereka tetap harus membayar imbalan kerja sesuai UUK No. 13 Tahun 2003 atau PP No. 35 Tahun 2021 (Omnibus Law). Oleh karena itu, perhitungan imbalan pasca kerja tetap penting dalam manajemen keuangan perusahaan."
Dampak perhitungan aktuaria dari penerapan UU No. 6 Tahun 2023 tentang Cipta Kerja dan juga dampak putusan uji materi MK terkait UU No. 11 Tahun 2020 tersebut? ;Tidak terdapat perubahan manfaat dari UU No. 11 Tahun 2020 ke UU No. 6 Tahun 2023.
Kami merupakan koperasi karyawan, apakah bisa tidak menggunakan UUCK? Karena sepengetahuan kami ada peraturan tersendiri untuk koperasi terkait imbalan pasca kerja (Case Koperasi Karyawan Univ Jember);Perhitungan imbalan pasca kerja hanya mengacu kepada UUK dan UUCK tentang Ketenagakerjaan. Adapun jika entitas/korporasi tersebut memiliki undang-undangnya sendiri (contohnya koperasi, memiliki undang-undang yang mengatur tentang koperasi), imbalan pasca kerja tidak diatur di dalamnya.
Kalau di perusahaan ada penghargaan rutin sebagai apresiasi kinerja karyawan berupa emas apakah diperhitungkan? Tapi ini spesifik untuk satu karyawan khusus;Untuk penghargaan karyawan berprestasi, kami membutuhkan Peraturan Perusahaan terkait hal tersebut. Namun biasanya karyawan berprestasi sulit untuk kami estimasi. Bisa dianggap tambahan bonus tahunan aja, jadi tidak perlu masuk perhitungan
Kalo misal cuti umroh dan tetep terima gaji, apakah masuk CBS?;Untuk cuti umroh tetap terima gaji, jadi tidak masuk CBS, cukup masuk ke dalam lingkup imbalan jangka pendek
Data apa yang diperlukan jika ingin melakukan perhitungan valuasi aktuaria secara komprehensif?;"Kami memiliki 2 template data untuk dilengkapi. Pertama, berupa file excel yang berisikan data pribadi karyawan seperti tanggal lahir, tanggal masuk kerja, gaji, dan lainnya. Kedua, berupa file word yang berisikan informasi perusahaan, seperti nama perusahaan, alamat perusahaan, rata-rata kenaikan gaji, penanggung pajak oleh karyawan / perusahaan dan lainnya. 

Selain 2 template tersebut, kami membutuhkan data pendukung lainnya seperti peraturan perusahaan, NPWP perusahaan, lembar persetujuan penawaran yang telah ditandatangani, laporan aktuaria tahun lalu (jika ada) serta saldo & iuran DPLK (jika ada).

Hal-hal yang perlu dipastikan meliputi:
1. Pastikan jumlah karyawan yang dihitung mencakup karyawan aktif dan tidak aktif, dilengkapi status tetap dan kontrak (jika ada).
2. Pastikan untuk tidak memasukkan anggota Board of Directors (BOD) dan Tenaga Kerja Asing (TKA) (jika ada) dalam perhitungan."
Bagaimana memahami pengakuan beban / pendapatan yang memisahkan biaya jasa kini dan biaya jasa lalu dalam pencatatan imbalan kerja?;"Pengakuan beban / pendapatan dalam pencatatan imbalan kerja, penting dipisahkan antara:
1. Debit Imbalan Kerja sebagai total beban yang timbul selama tahun berjalan dan harus diakui di laporan laba rugi.
    • Biaya Jasa Kini (Current Service Cost) → hak karyawan yang bekerja aktif selama tahun valuasi.
    • Biaya Jasa Lalu (Past Service Cost) → koreksi atas manfaat masa lalu, yang sifatnya mengurangi kewajiban perusahaan secara signifikan (karena ada penghapusan atau penyesuaian manfaat yang bersifat vested). Jika dampaknya besar, bisa menciptakan lonjakan beban atau justru pendapatan (jika kewajiban dikurangi). 
2. Kredit Imbalan Kerja sebagai jumlah kewajiban (utang) yang harus dibayar oleh perusahaan kepada karyawan di masa mendatang.

Diketahui:
Pada awal tahun 2024, kewajiban perusahaan sebesar Rp9,1 M. Setelah beban tahun berjalan dikurangi sebesar Rp5,3 M → maka kewajiban akhir tahun 2024 turun menjadi Rp3,79 M.

Ini menunjukkan bahwa sebagian besar kewajiban perusahaan sudah dikoreksi atau direvisi, baik karena pengurangan manfaat, penghapusan program, atau perubahan data peserta. Jadi, pengakuan finalnya adalah:
 • Debit: Beban Imbalan Kerja (CSC + Interest) = Rp1,14 M
 • Debit: Koreksi Biaya Jasa Lalu (BJS) =  Rp -6,45 M
 • Kredit: Penurunan Bersih Kewajiban =  Rp -5,31 M

Karena nilai koreksi biaya jasa lalu sangat besar dan bersifat mengurangi kewajiban, maka perusahaan mencatatnya sebagai pendapatan dalam laporan laba rugi.

Dengan memisahkan biaya jasa kini dan biaya jasa lalu, laporan aktuaria memberikan transparansi penuh tentang:
• Berapa biaya yang benar-benar timbul tahun berjalan
• Berapa yang muncul karena kebijakan baru
• Dan apakah perubahan program memberikan beban atau justru “penghematan” di laporan keuangan."
Bagaimana cara memastikan saldo imbalan pasca kerja pada laporan keuangan sebelumnya?;Pastikan untuk memeriksa apakah pada laporan keuangan sebelumnya sudah ada saldo beban imbalan pasca kerja yang dicatat. Jika ini adalah pertama kali perusahaan menghitung, tetapi sebelumnya sudah ada perhitungan internal, dibutuhkan data detail perhitungannya, setidaknya saldo yang digunakan pada laporan keuangan sebelumnya.
Mengapa biaya imbalan kerja dicatat sebagai utang, dan kapan bisa dicatat sebagai aset dalam laporan keuangan?;"Ketentuan Pencatatan:
1. Umumnya dicatat sebagai Utang jika imbalan kerja masih berupa kewajiban yang belum dibayarkan, seperti biaya jasa kini dan biaya jasa lalu.
2. Dalam kondisi tertentu dicatat sebagai Aset jika perusahaan memiliki dana pensiun atau aset investasi yang dikelola secara khusus untuk membayar manfaat tersebut di masa depan.
Dengan bantuan Kantor Akuntan Publik (KAP), pencatatan ini dilakukan sesuai standar akuntansi seperti PSAK 219 untuk memastikan transparansi laporan keuangan."
Periode perhitungan IPK dilakukan per tahun, per bulan, atau per kuartal?;Perhitungan IPK biasanya dilakukan per tahun, mengikuti periode pelaporan audit, karena IPK merupakan salah satu komponen yang diperlukan auditor dalam laporan keuangan. Namun, bisa juga dihitung per kuartal tergantung kebutuhan perusahaan dan auditor untuk mendapatkan nilai estimasi imbalan kerja yang lebih proporsional.
Apa perbedaan perhitungan untuk karyawan tetap dan kontrak?;"1. Karyawan tetap (PKWTT) : Perhitungannya mencakup beberapa komponen, seperti cadangan untuk pensiun, meninggal dunia, cacat, dan resign, yang formulanya mengikuti peraturan perundang-undangan yang berlaku dan diproyeksikan sampai usia pensiun.
2. Karyawan kontrak (PKWT) : Perhitungannya didasarkan pada masa kerja (proporsional), yaitu masa kerja (bulan) / 12 x gaji dan diproyesikan sampai tanggal akhir kontrak."
Bagaimana dengan pekerja harian?;Karyawan harian tidak masuk ke dalam perhitungan.
Bagaimana ketentuan gaji yang digunakan dalam perhitungan IPK?;Gaji yang digunakan untuk menghitung Imbalan Pasca Kerja (IPK) terdiri dari gaji pokok dan tunjangan tetap, yang keduanya dihitung dalam jumlah bruto (sebelum dipotong pajak atau iuran lain) untuk masing-masing karyawan.
Bagaimana jika karyawan kontrak berubah setiap proyek?;Perhitungan dilakukan berdasarkan masing-masing karyawan kontrak per proyek, dengan masa kerja dihitung sejak tanggal awal kontrak hingga tanggal proyek selesai.
Komponen inti data karyawan untuk memulai perhitungan apa saja?;Identitas karyawan (NIK/Nama), tanggal lahir, tanggal mulai kerja, gaji pokok dan tunjangan (jika ada), dan status karyawan.
Apa saja komponen utama penyusun beban pada laporan IPK?;Terdiri dari Biaya Jasa Kini, Biaya Jasa Lalu dan Biaya Bunga. Bisa ditambahkan juga komponen tambahan lainnya seperti: pengaruh Kurtailmen atau Penyelesaian, jika ada penghentian program pensiun, dan (Dikurangi) Hasil Investasi Aset Program, bila perusahaan punya aset dana pensiun.
Metode apa yang digunakan dalam perhitungan?;Perhitungan IPK menggunakan metode Projected Unit Credit (PUC) sesuai dengan yang dipersyaratkan dalam PSAK 219. Metode ini juga sesuai dengan IFRS/IAS 19 (Employee Benefits), sebagai standar perhitungan aktuaria internasional.
Bagaimana cara menghitung nilai estimated future working dalam PSAK 219?;Estimated future working dapat dihitung berdasarkan sisa masa kerja untuk setiap karyawan. Untuk karyawan tetap dihitung hingga karyawan tersebut mencapai usia pensiunnya, sedangkan untuk karyawan kontrak dihitung hingga berakhirnya kontrak karyawan tersebut (diasumsikan satu tahun).
Apa yang harus dilakukan jika klien sudah pernah melakukan perhitungan tetapi tidak memiliki data rincian terkait perhitungan kewajiban / PVDBO?;Jika klien tidak memiliki data rincian PVDBO, maka dibutuhkan data karyawan yang digunakan pada perhitungan sebelumnya untuk melihat asumsi yang relevan yang akan digunakan pada perhitungan saat ini.
